id,name,prefecture,city,rent,layout,year,building
1,ザ・パークハウスグラン三番町,東京都,千代田区,600000,3LDK,11,マンション
2,サンライズマンション-8396,千葉県,市川市,184426,3DK,44,一戸建て・その他
3,サンライズマンション-2433,千葉県,船橋市,321171,2K,44,アパート
4,サンプルホーム-7304,千葉県,千葉市,464987,5K以上,24,一戸建て・その他
5,グランハイツ-7984,東京都,千代田区,372917,3K,12,一戸建て・その他
6,サンライズマンション-4917,千葉県,千葉市,91128,4LDK,27,一戸建て・その他
7,スカイタワー-3924,神奈川県,横浜市,404221,1LDK,44,一戸建て・その他
8,サンライズマンション-5539,東京都,港区,399968,2DK,12,アパート
9,パークレジデンス-5531,福岡県,福岡市,181615,3DK,8,一戸建て・その他
10,サンプルホーム-6925,千葉県,千葉市,128809,1K,26,マンション
11,サンプルホーム-6315,福岡県,北九州市,60625,3DK,27,一戸建て・その他
12,グランハイツ-7631,大阪府,大阪市,358495,2LDK,6,マンション
13,グランハイツ-2352,神奈川県,横浜市,460959,1LDK,15,マンション
14,グランハイツ-4455,東京都,港区,471369,3K,9,マンション
15,サンプルホーム-8863,千葉県,船橋市,447991,1LDK,41,一戸建て・その他
16,サンプルホーム-9998,大阪府,大阪市,481235,3LDK,50,一戸建て・その他
17,グランハイツ-1517,埼玉県,所沢市,268201,2LDK,44,アパート
18,サンプルホーム-3364,愛知県,岡崎市,267138,5K以上,50,一戸建て・その他
19,グランハイツ-5837,埼玉県,さいたま市,292648,ワンルーム,39,マンション
20,パークレジデンス-1367,埼玉県,さいたま市,59043,4K,11,一戸建て・その他
21,サンライズマンション-9561,大阪府,堺市,443761,ワンルーム,8,一戸建て・その他
22,サンプルホーム-3732,福岡県,久留米市,275877,2K,6,一戸建て・その他
23,パークレジデンス-8325,福岡県,北九州市,98825,4K,39,マンション
24,サンプルホーム-2864,神奈川県,川崎市,108862,3K,8,アパート
25,グランハイツ-8082,東京都,千代田区,338222,3LDK,43,アパート
26,サンプルホーム-6708,埼玉県,川越市,139220,1K,21,マンション
27,サンライズマンション-3886,愛知県,名古屋市,179470,3DK,10,アパート
28,スカイタワー-4503,愛知県,岡崎市,192583,3LDK,19,一戸建て・その他
29,サンライズマンション-7001,千葉県,市川市,200616,1DK,42,マンション
30,スカイタワー-1684,愛知県,豊田市,467038,1LDK,49,一戸建て・その他
31,パークレジデンス-3888,神奈川県,藤沢市,277990,4LDK,40,マンション
32,サンプルホーム-2936,愛知県,岡崎市,403063,3K,14,一戸建て・その他
33,グランハイツ-7244,東京都,世田谷区,196887,ワンルーム,17,マンション
34,パークレジデンス-3623,東京都,渋谷区,366906,2LDK,33,一戸建て・その他
35,サンプルホーム-5590,大阪府,堺市,373931,4LDK,34,マンション
36,スカイタワー-7465,東京都,港区,447286,4DK,2,アパート
37,パークレジデンス-6915,愛知県,名古屋市,180633,3DK,16,マンション
38,サンライズマンション-4497,愛知県,岡崎市,263231,4K,29,アパート
39,スカイタワー-3873,東京都,渋谷区,364532,1K,8,一戸建て・その他
40,サンプルホーム-8489,埼玉県,さいたま市,273421,1DK,12,マンション
41,スカイタワー-2153,神奈川県,藤沢市,180303,4K,28,一戸建て・その他
42,スカイタワー-3516,千葉県,千葉市,116899,ワンルーム,11,一戸建て・その他
43,サンライズマンション-4707,東京都,新宿区,377914,1DK,27,一戸建て・その他
44,グランハイツ-1947,千葉県,千葉市,319135,5K以上,11,一戸建て・その他
45,サンプルホーム-4120,福岡県,久留米市,415002,ワンルーム,43,マンション
46,パークレジデンス-6979,愛知県,岡崎市,335943,5K以上,47,マンション
47,パークレジデンス-5579,愛知県,岡崎市,200127,4LDK,10,一戸建て・その他
48,サンライズマンション-3213,福岡県,福岡市,300469,5K以上,37,一戸建て・その他
49,グランハイツ-5608,埼玉県,川越市,361378,3K,33,一戸建て・その他
50,パークレジデンス-6402,福岡県,北九州市,89951,4DK,17,アパート
51,グランハイツ-7880,愛知県,岡崎市,337457,3LDK,48,一戸建て・その他
52,パークレジデンス-5859,愛知県,名古屋市,377597,3DK,28,アパート
53,グランハイツ-8976,神奈川県,川崎市,425748,3LDK,24,アパート
54,スカイタワー-7506,東京都,渋谷区,468306,4K,34,アパート
55,スカイタワー-8179,神奈川県,藤沢市,180774,4LDK,17,マンション
56,パークレジデンス-5583,埼玉県,川越市,238897,4K,23,一戸建て・その他
57,サンライズマンション-6410,愛知県,名古屋市,287369,ワンルーム,12,マンション
58,グランハイツ-3708,愛知県,豊田市,260615,5K以上,31,アパート
59,スカイタワー-8934,愛知県,豊田市,357330,3LDK,3,一戸建て・その他
60,スカイタワー-5974,愛知県,豊田市,130734,3DK,17,一戸建て・その他
61,グランハイツ-2868,埼玉県,川越市,349763,1LDK,9,アパート
62,グランハイツ-4913,神奈川県,横浜市,481215,1K,47,マンション
63,スカイタワー-7350,大阪府,堺市,370617,3LDK,3,マンション
64,スカイタワー-8664,福岡県,久留米市,247794,1LDK,45,マンション
65,サンプルホーム-7467,大阪府,大阪市,152458,2LDK,42,一戸建て・その他
66,パークレジデンス-4115,愛知県,名古屋市,190715,3DK,28,アパート
67,パークレジデンス-2110,東京都,千代田区,290278,2LDK,7,アパート
68,サンライズマンション-6813,神奈川県,藤沢市,394761,1LDK,23,マンション
69,スカイタワー-4691,大阪府,大阪市,194386,1LDK,49,一戸建て・その他
70,パークレジデンス-5201,愛知県,名古屋市,350155,4K,27,一戸建て・その他
71,グランハイツ-7897,福岡県,福岡市,264584,5K以上,6,一戸建て・その他
72,グランハイツ-3215,千葉県,千葉市,456323,3DK,10,一戸建て・その他
73,グランハイツ-6714,東京都,港区,297653,4LDK,3,マンション
74,パークレジデンス-9406,福岡県,久留米市,105638,1LDK,40,一戸建て・その他
75,サンライズマンション-7996,神奈川県,川崎市,490447,ワンルーム,12,マンション
76,スカイタワー-2313,福岡県,久留米市,293871,2K,18,マンション
77,サンライズマンション-1398,福岡県,北九州市,149093,2DK,19,アパート
78,パークレジデンス-3145,神奈川県,横浜市,477934,2LDK,3,一戸建て・その他
79,パークレジデンス-7539,神奈川県,鎌倉市,234388,1K,36,マンション
80,パークレジデンス-4063,千葉県,千葉市,459374,5K以上,8,マンション
81,サンプルホーム-5020,愛知県,岡崎市,291619,1K,28,一戸建て・その他
82,グランハイツ-9251,東京都,新宿区,362731,1K,9,一戸建て・その他
83,サンライズマンション-6069,愛知県,岡崎市,282429,3DK,29,アパート
84,サンライズマンション-4960,福岡県,福岡市,213942,2DK,32,マンション
85,サンプルホーム-7757,福岡県,福岡市,51861,1K,30,アパート
86,サンプルホーム-9896,神奈川県,鎌倉市,195595,1DK,15,アパート
87,グランハイツ-4542,東京都,港区,467276,ワンルーム,7,アパート
88,グランハイツ-5761,神奈川県,横浜市,104585,3LDK,39,一戸建て・その他
89,サンプルホーム-6141,埼玉県,さいたま市,343075,1DK,40,アパート
90,サンライズマンション-1652,千葉県,千葉市,338523,ワンルーム,43,アパート
91,パークレジデンス-6326,東京都,千代田区,468603,3LDK,9,アパート
92,サンプルホーム-4280,大阪府,吹田市,458473,1K,16,マンション
93,サンプルホーム-8100,大阪府,堺市,105533,4LDK,29,マンション
94,グランハイツ-8754,福岡県,久留米市,86415,1DK,24,マンション
95,サンライズマンション-6635,福岡県,久留米市,175650,2K,12,マンション
96,サンライズマンション-5627,愛知県,名古屋市,393133,3K,23,一戸建て・その他
97,サンライズマンション-9999,愛知県,豊田市,307794,4LDK,11,一戸建て・その他
98,スカイタワー-1442,神奈川県,川崎市,397063,3K,49,アパート
99,パークレジデンス-4294,大阪府,堺市,274979,ワンルーム,20,一戸建て・その他
100,スカイタワー-9945,神奈川県,川崎市,287899,2DK,1,マンション
101,サンライズマンション-2690,埼玉県,所沢市,94417,1K,17,一戸建て・その他
